case,x1,y1,x2,y2
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00016.nii\imaging.nii,176,239,396,313
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00017.nii\imaging.nii,140,230,345,323
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00018.nii\imaging.nii,141,243,370,346
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00019.nii\imaging.nii,175,244,344,323
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00020.nii\imaging.nii,176,292,341,369
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00021.nii\imaging.nii,158,240,381,341
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00022.nii\imaging.nii,125,222,391,320
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00023.nii\imaging.nii,125,249,392,368
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00024.nii\imaging.nii,160,240,355,319
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00025.nii\imaging.nii,124,231,434,381
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00026.nii\imaging.nii,166,256,387,347
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00027.nii\imaging.nii,113,266,375,364
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00028.nii\imaging.nii,110,268,400,358
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00029.nii\imaging.nii,151,268,407,366
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00030.nii\imaging.nii,115,239,428,363
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00031.nii\imaging.nii,120,228,367,332
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00032.nii\imaging.nii,164,237,365,310
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00033.nii\imaging.nii,148,242,394,322
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00034.nii\imaging.nii,158,233,382,316
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00035.nii\imaging.nii,136,267,405,341
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00036.nii\imaging.nii,145,274,345,352
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00037.nii\imaging.nii,163,232,332,309
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00038.nii\imaging.nii,93,233,407,342
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00039.nii\imaging.nii,136,252,341,328
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00040.nii\imaging.nii,162,231,384,312
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00041.nii\imaging.nii,135,247,397,352
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00042.nii\imaging.nii,109,204,417,383
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00043.nii\imaging.nii,176,213,380,328
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00044.nii\imaging.nii,170,289,346,368
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00045.nii\imaging.nii,114,246,388,363
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00046.nii\imaging.nii,165,260,341,337
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00047.nii\imaging.nii,156,260,389,361
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00048.nii\imaging.nii,184,230,353,304
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00049.nii\imaging.nii,112,234,413,340
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00050.nii\imaging.nii,117,256,410,363
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00051.nii\imaging.nii,125,285,393,378
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00052.nii\imaging.nii,144,222,377,310
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00053.nii\imaging.nii,146,261,387,353
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00054.nii\imaging.nii,166,233,352,320
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00055.nii\imaging.nii,161,257,358,344
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00056.nii\imaging.nii,160,250,373,357
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00057.nii\imaging.nii,110,200,387,316
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00058.nii\imaging.nii,164,214,337,313
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00059.nii\imaging.nii,137,219,368,306
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00060.nii\imaging.nii,181,239,343,312
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00061.nii\imaging.nii,122,218,391,326
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00062.nii\imaging.nii,171,288,361,369
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00063.nii\imaging.nii,117,224,400,340
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00064.nii\imaging.nii,127,263,405,348
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00065.nii\imaging.nii,118,279,402,361
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00066.nii\imaging.nii,138,263,371,342
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00067.nii\imaging.nii,120,196,401,366
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00068.nii\imaging.nii,112,236,417,376
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00069.nii\imaging.nii,154,271,368,361
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00070.nii\imaging.nii,91,229,419,377
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00070.nii\imaging.nii,87,227,427,371
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00071.nii\imaging.nii,148,256,403,336
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00072.nii\imaging.nii,145,271,361,350
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00073.nii\imaging.nii,123,197,403,320
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00074.nii\imaging.nii,153,265,386,330
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00075.nii\imaging.nii,164,250,353,331
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00076.nii\imaging.nii,98,201,407,316
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00077.nii\imaging.nii,129,203,368,298
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00078.nii\imaging.nii,113,265,426,382
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00079.nii\imaging.nii,122,218,466,357
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00080.nii\imaging.nii,107,255,411,381
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00081.nii\imaging.nii,132,159,411,271
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00082.nii\imaging.nii,139,238,348,329
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00083.nii\imaging.nii,134,241,393,374
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00084.nii\imaging.nii,124,199,427,311
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00085.nii\imaging.nii,115,216,395,337
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00086.nii\imaging.nii,120,272,374,368
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00087.nii\imaging.nii,116,238,413,396
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00088.nii\imaging.nii,145,266,393,387
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00089.nii\imaging.nii,128,253,371,354
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00090.nii\imaging.nii,146,267,417,380
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00091.nii\imaging.nii,128,197,398,315
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00092.nii\imaging.nii,99,169,434,283
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00093.nii\imaging.nii,99,188,405,275
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00094.nii\imaging.nii,80,246,430,373
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00095.nii\imaging.nii,120,169,397,313
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00096.nii\imaging.nii,120,245,407,365
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00097.nii\imaging.nii,96,201,406,323
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00098.nii\imaging.nii,111,225,439,373
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00099.nii\imaging.nii,128,254,395,345
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00100.nii\imaging.nii,142,233,385,318
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00101.nii\imaging.nii,115,274,396,376
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00102.nii\imaging.nii,124,222,427,363
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00103.nii\imaging.nii,125,219,386,304
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00104.nii\imaging.nii,116,248,400,382
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00105.nii\imaging.nii,164,248,365,320
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00106.nii\imaging.nii,121,228,399,327
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00107.nii\imaging.nii,120,223,420,347
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00108.nii\imaging.nii,113,280,390,399
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00109.nii\imaging.nii,83,201,428,329
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00110.nii\imaging.nii,100,203,410,318
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00111.nii\imaging.nii,111,190,431,319
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00112.nii\imaging.nii,93,236,411,384
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00113.nii\imaging.nii,101,297,392,419
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00114.nii\imaging.nii,89,216,397,358
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00115.nii\imaging.nii,128,240,376,346
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00116.nii\imaging.nii,132,268,422,371
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00117.nii\imaging.nii,113,226,412,349
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00118.nii\imaging.nii,106,217,413,323
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00119.nii\imaging.nii,139,236,370,342
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00120.nii\imaging.nii,121,207,406,348
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00121.nii\imaging.nii,105,248,389,341
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00122.nii\imaging.nii,107,230,429,377
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00123.nii\imaging.nii,141,237,371,341
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00124.nii\imaging.nii,84,231,441,369
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00125.nii\imaging.nii,139,272,380,367
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00126.nii\imaging.nii,116,231,403,359
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00127.nii\imaging.nii,154,255,378,351
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00128.nii\imaging.nii,95,177,420,311
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00129.nii\imaging.nii,133,245,403,357
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00130.nii\imaging.nii,94,256,422,353
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00131.nii\imaging.nii,98,207,400,343
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00132.nii\imaging.nii,123,268,407,357
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00133.nii\imaging.nii,110,247,389,342
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00134.nii\imaging.nii,125,209,380,331
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00135.nii\imaging.nii,136,255,411,342
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00136.nii\imaging.nii,127,221,420,315
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00137.nii\imaging.nii,122,256,401,388
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00138.nii\imaging.nii,95,230,457,390
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00139.nii\imaging.nii,130,219,397,345
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00140.nii\imaging.nii,109,234,453,372
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00141.nii\imaging.nii,100,267,443,379
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00142.nii\imaging.nii,112,301,434,400
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00143.nii\imaging.nii,95,219,443,337
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00144.nii\imaging.nii,133,208,407,346
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00145.nii\imaging.nii,137,190,437,338
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00146.nii\imaging.nii,81,191,482,328
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00147.nii\imaging.nii,98,232,411,341
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00148.nii\imaging.nii,123,252,390,347
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00149.nii\imaging.nii,99,151,454,347
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00150.nii\imaging.nii,86,232,395,347
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00151.nii\imaging.nii,70,250,448,381
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00152.nii\imaging.nii,78,251,431,363
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00153.nii\imaging.nii,81,183,432,344
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00154.nii\imaging.nii,118,257,421,378
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00155.nii\imaging.nii,127,257,393,360
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00156.nii\imaging.nii,137,235,401,327
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00157.nii\imaging.nii,127,256,423,365
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00158.nii\imaging.nii,77,180,447,294
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00159.nii\imaging.nii,111,256,411,342
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00160.nii\imaging.nii,126,238,639,414
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00161.nii\imaging161.nii,117,264,404,367
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00162.nii\imaging.nii,70,238,457,385
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00163.nii\imaging.nii,138,212,403,319
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00164.nii\imaging.nii,71,260,403,385
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00165.nii\imaging.nii,113,246,398,352
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00166.nii\imaging.nii,99,219,388,340
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00167.nii\imaging.nii,109,222,410,340
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00168.nii\imaging.nii,126,246,410,356
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00169.nii\imaging.nii,122,203,393,316
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00170.nii\imaging.nii,109,241,415,362
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00171.nii\imaging.nii,137,283,389,392
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00172.nii\imaging.nii,85,213,417,344
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00173.nii\imaging.nii,110,228,418,326
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00174.nii\imaging.nii,138,286,402,389
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00175.nii\imaging.nii,88,307,441,440
C:\Users\ChiaraFreistetter\Desktop\fh\inno-organ_segmentation\data\KiTS-20210922T123706Z-001\images\case_00176.nii\imaging.nii,54,242,466,391
